"arc_length","N=0","N=1","N=2","N=3"
0,-4.72998e-35,-3.53665e-35,6.69526e-36,1.14978e-34
0.00141421,0.000420783,0.00033015,0.000274671,0.000235235
0.00282843,0.000841566,0.000660301,0.000549341,0.00047047
0.00424264,0.00126235,0.000990451,0.000824012,0.000705705
0.00565685,0.00168313,0.0013206,0.00109868,0.000940939
0.00707107,0.00210391,0.00165075,0.00137335,0.00117617
0.00848528,0.00236068,0.00175313,0.00140389,0.00116738
0.0098995,0.00261745,0.00185551,0.00143443,0.00115858
0.0113137,0.00287422,0.00195789,0.00146497,0.00114979
0.0127279,0.00313099,0.00206027,0.00149551,0.00114099
0.0141421,0.00338776,0.00216265,0.00152605,0.00113219
0.0155563,0.00350008,0.00214383,0.00146966,0.00106651
0.0169706,0.00361241,0.00212501,0.00141328,0.00100083
0.0183848,0.00372473,0.00210618,0.00135689,0.000935152
0.019799,0.00383706,0.00208736,0.0013005,0.000869472
0.0212132,0.00394938,0.00206854,0.00124412,0.000803791
0.0226274,0.00398856,0.00201774,0.00118559,0.000753657
0.0240416,0.00402773,0.00196695,0.00112707,0.000703522
0.0254558,0.0040669,0.00191615,0.00106854,0.000653388
0.0268701,0.00410608,0.00186536,0.00101002,0.000603254
0.0282843,0.00414525,0.00181457,0.000951495,0.000553119
0.0296985,0.00414925,0.0017641,0.000909355,0.000524223
0.0311127,0.00415325,0.00171364,0.000867216,0.000495326
0.0325269,0.00415725,0.00166318,0.000825076,0.000466429
0.0339411,0.00416125,0.00161272,0.000782936,0.000437532
0.0353553,0.00416526,0.00156226,0.000740796,0.000408636
0.0367696,0.00415332,0.00152094,0.000713612,0.000393244
0.0381838,0.00414138,0.00147961,0.000686429,0.000377852
0.039598,0.00412944,0.00143829,0.000659245,0.000362461
0.0410122,0.0041175,0.00139697,0.000632061,0.000347069
0.0424264,0.00410556,0.00135565,0.000604877,0.000331677
0.0438406,0.00408713,0.00132388,0.000587591,0.000323002
0.0452548,0.0040687,0.0012921,0.000570305,0.000314326
0.046669,0.00405026,0.00126033,0.00055302,0.000305651
0.0480833,0.00403183,0.00122856,0.000535734,0.000296976
0.0494975,0.0040134,0.00119678,0.000518448,0.0002883
0.0509117,0.00399297,0.00117263,0.000506919,0.000282513
0.0523259,0.00397255,0.00114848,0.000495391,0.000276725
0.0537401,0.00395212,0.00112433,0.000483863,0.000270938
0.0551543,0.00393169,0.00110019,0.000472334,0.000265151
0.0565685,0.00391127,0.00107604,0.000460806,0.000259363
0.0579828,0.0038909,0.00105742,0.000452441,0.000254735
0.059397,0.00387053,0.0010388,0.000444075,0.000250106
0.0608112,0.00385016,0.00102018,0.00043571,0.000245478
0.0622254,0.00382979,0.00100156,0.000427344,0.00024085
0.0636396,0.00380943,0.00098294,0.000418978,0.000236221
0.0650538,0.00378998,0.00096819,0.000412347,0.000232115
0.066468,0.00377053,0.00095344,0.000405716,0.000228008
0.0678823,0.00375108,0.00093869,0.000399085,0.000223902
0.0692965,0.00373163,0.000923941,0.000392453,0.000219795
0.0707107,0.00371219,0.000909191,0.000385822,0.000215689
0.0721249,0.00369396,0.000897137,0.0003802,0.00021193
0.0735391,0.00367573,0.000885083,0.000374579,0.00020817
0.0749533,0.0036575,0.000873029,0.000368957,0.000204411
0.0763675,0.00363928,0.000860975,0.000363335,0.000200651
0.0777817,0.00362105,0.000848921,0.000357714,0.000196892
0.079196,0.00360409,0.000838775,0.000352753,0.000193458
0.0806102,0.00358713,0.00082863,0.000347793,0.000190023
0.0820244,0.00357016,0.000818484,0.000342833,0.000186589
0.0834386,0.0035532,0.000808338,0.000337872,0.000183155
0.0848528,0.00353624,0.000798192,0.000332912,0.000179721
0.086267,0.00352048,0.000789437,0.000328448,0.000176617
0.0876812,0.00350472,0.000780681,0.000323984,0.000173514
0.0890955,0.00348896,0.000771925,0.00031952,0.000170411
0.0905097,0.0034732,0.00076317,0.000315056,0.000167308
0.0919239,0.00345744,0.000754414,0.000310592,0.000164204
0.0933381,0.00344278,0.000746708,0.000306541,0.000161427
0.0947523,0.00342812,0.000739001,0.00030249,0.00015865
0.0961665,0.00341346,0.000731295,0.00029844,0.000155873
0.0975807,0.0033988,0.000723588,0.000294389,0.000153096
0.0989949,0.00338414,0.000715882,0.000290338,0.000150319
0.100409,0.00337046,0.000708996,0.000286652,0.000147848
0.101823,0.00335679,0.000702111,0.000282965,0.000145377
0.103238,0.00334312,0.000695225,0.000279279,0.000142907
0.104652,0.00332945,0.00068834,0.000275592,0.000140436
0.106066,0.00331578,0.000681454,0.000271906,0.000137965
0.10748,0.003303,0.000675233,0.000268548,0.000135772
0.108894,0.00329022,0.000669012,0.000265189,0.000133578
0.110309,0.00327743,0.00066279,0.000261831,0.000131385
0.111723,0.00326465,0.000656569,0.000258473,0.000129191
0.113137,0.00325187,0.000650348,0.000255114,0.000126998
0.114551,0.00323988,0.000644679,0.000252053,0.000125049
0.115966,0.00322789,0.00063901,0.000248991,0.0001231
0.11738,0.00321589,0.000633341,0.000245929,0.000121151
0.118794,0.0032039,0.000627673,0.000242868,0.000119202
0.120208,0.00319191,0.000622004,0.000239806,0.000117253
0.121622,0.00318064,0.000616805,0.000237012,0.000115517
0.123037,0.00316936,0.000611606,0.000234218,0.000113781
0.124451,0.00315808,0.000606407,0.000231423,0.000112045
0.125865,0.0031468,0.000601208,0.000228629,0.000110309
0.127279,0.00313552,0.000596009,0.000225835,0.000108573
0.128693,0.00312488,0.000591217,0.000223281,0.000107021
0.130108,0.00311425,0.000586424,0.000220728,0.000105468
0.131522,0.00310361,0.000581632,0.000218174,0.000103916
0.132936,0.00309297,0.00057684,0.00021562,0.000102364
0.13435,0.00308233,0.000572047,0.000213067,0.000100812
0.135765,0.00307227,0.000567611,0.000210728,9.94183e-05
0.137179,0.00306221,0.000563175,0.00020839,9.80249e-05
0.138593,0.00305215,0.000558738,0.000206052,9.66315e-05
0.140007,0.00304209,0.000554302,0.000203713,9.5238e-05
0.141421,0.00303204,0.000549866,0.000201375,9.38445e-05
0.142836,0.0030225,0.000545745,0.000199229,9.25885e-05
0.14425,0.00301297,0.000541624,0.000197084,9.13324e-05
0.145664,0.00300343,0.000537503,0.000194938,9.00763e-05
0.147078,0.0029939,0.000533382,0.000192792,8.88203e-05
0.148492,0.00298436,0.000529261,0.000190647,8.75642e-05
0.149907,0.00297531,0.000525421,0.000188673,8.64275e-05
0.151321,0.00296625,0.000521581,0.0001867,8.52908e-05
0.152735,0.00295719,0.000517741,0.000184727,8.41541e-05
0.154149,0.00294814,0.000513902,0.000182753,8.30174e-05
0.155563,0.00293908,0.000510062,0.00018078,8.18807e-05
0.156978,0.00293046,0.000506474,0.000178961,8.08483e-05
0.158392,0.00292184,0.000502887,0.000177142,7.98158e-05
0.159806,0.00291322,0.000499299,0.000175323,7.87834e-05
0.16122,0.0029046,0.000495712,0.000173503,7.7751e-05
0.162635,0.00289598,0.000492124,0.000171684,7.67185e-05
0.164049,0.00288776,0.000488764,0.000170003,7.57776e-05
0.165463,0.00287954,0.000485404,0.000168323,7.48367e-05
0.166877,0.00287132,0.000482044,0.000166642,7.38958e-05
0.168291,0.00286311,0.000478684,0.000164961,7.29549e-05
0.169706,0.00285489,0.000475325,0.00016328,7.2014e-05
0.17112,0.00284704,0.000472171,0.000161723,7.11539e-05
0.172534,0.00283919,0.000469017,0.000160167,7.02938e-05
0.173948,0.00283134,0.000465863,0.00015861,6.94337e-05
0.175362,0.00282349,0.00046271,0.000157053,6.85735e-05
0.176777,0.00281564,0.000459556,0.000155497,6.77134e-05
0.178191,0.00280813,0.00045659,0.000154052,6.69249e-05
0.179605,0.00280062,0.000453623,0.000152607,6.61365e-05
0.181019,0.00279311,0.000450657,0.000151163,6.5348e-05
0.182434,0.0027856,0.000447691,0.000149718,6.45595e-05
0.183848,0.00277809,0.000444725,0.000148273,6.3771e-05
0.185262,0.00277089,0.000441929,0.00014693,6.30464e-05
0.186676,0.0027637,0.000439134,0.000145586,6.23217e-05
0.18809,0.0027565,0.000436339,0.000144242,6.1597e-05
0.189505,0.00274931,0.000433544,0.000142899,6.08723e-05
0.190919,0.00274212,0.000430749,0.000141555,6.01477e-05
0.192333,0.00273521,0.00042811,0.000140303,5.94801e-05
0.193747,0.00272831,0.000425472,0.000139051,5.88125e-05
0.195161,0.00272141,0.000422833,0.000137799,5.81448e-05
0.196576,0.00271451,0.000420195,0.000136547,5.74772e-05
0.19799,0.00270761,0.000417556,0.000135295,5.68096e-05
0.199404,0.00270098,0.000415061,0.000134126,5.61932e-05
0.200818,0.00269435,0.000412567,0.000132957,5.55768e-05
0.202233,0.00268772,0.000410072,0.000131788,5.49604e-05
0.203647,0.00268109,0.000407577,0.000130619,5.4344e-05
0.205061,0.00267446,0.000405082,0.00012945,5.37277e-05
0.206475,0.00266808,0.00040272,0.000128357,5.31574e-05
0.207889,0.00266171,0.000400357,0.000127263,5.25871e-05
0.209304,0.00265533,0.000397995,0.00012617,5.20168e-05
0.210718,0.00264895,0.000395632,0.000125077,5.14465e-05
0.212132,0.00264258,0.00039327,0.000123983,5.08762e-05
0.213546,0.00263644,0.000391029,0.000122959,5.03476e-05
0.21496,0.0026303,0.000388789,0.000121935,4.9819e-05
0.216375,0.00262416,0.000386548,0.000120911,4.92904e-05
0.217789,0.00261802,0.000384308,0.000119887,4.87617e-05
0.219203,0.00261188,0.000382067,0.000118862,4.82331e-05
0.220617,0.00260597,0.00037994,0.000117901,4.77422e-05
0.222032,0.00260005,0.000377812,0.00011694,4.72513e-05
0.223446,0.00259414,0.000375684,0.000115979,4.67604e-05
0.22486,0.00258822,0.000373557,0.000115018,4.62695e-05
0.226274,0.0025823,0.000371429,0.000114057,4.57786e-05
0.227688,0.00257659,0.000369406,0.000113154,4.53219e-05
0.229103,0.00257089,0.000367383,0.000112251,4.48653e-05
0.230517,0.00256518,0.00036536,0.000111347,4.44086e-05
0.231931,0.00255947,0.000363337,0.000110444,4.3952e-05
0.233345,0.00255376,0.000361314,0.000109541,4.34953e-05
0.234759,0.00254825,0.000359388,0.000108691,4.30699e-05
0.236174,0.00254274,0.000357462,0.000107841,4.26444e-05
0.237588,0.00253723,0.000355536,0.000106991,4.22189e-05
0.239002,0.00253171,0.00035361,0.000106141,4.17934e-05
0.240416,0.0025262,0.000351684,0.000105291,4.1368e-05
0.241831,0.00252087,0.000349848,0.000104491,4.09709e-05
0.243245,0.00251555,0.000348012,0.00010369,4.05739e-05
0.244659,0.00251022,0.000346176,0.000102889,4.01769e-05
0.246073,0.00250489,0.000344341,0.000102088,3.97799e-05
0.247487,0.00249956,0.000342505,0.000101287,3.93828e-05
0.248902,0.00249441,0.000340753,0.000100531,3.90118e-05
0.250316,0.00248926,0.000339002,9.97753e-05,3.86408e-05
0.25173,0.0024841,0.00033725,9.90195e-05,3.82698e-05
0.253144,0.00247895,0.000335499,9.82638e-05,3.78987e-05
0.254558,0.0024738,0.000333747,9.7508e-05,3.75277e-05
0.255973,0.00246881,0.000332074,9.67941e-05,3.71805e-05
0.257387,0.00246382,0.000330401,9.60801e-05,3.68333e-05
0.258801,0.00245883,0.000328728,9.53661e-05,3.64861e-05
0.260215,0.00245384,0.000327055,9.46522e-05,3.61389e-05
0.26163,0.00244885,0.000325382,9.39382e-05,3.57917e-05
0.263044,0.00244401,0.000323782,9.32629e-05,3.54664e-05
0.264458,0.00243918,0.000322182,9.25876e-05,3.5141e-05
0.265872,0.00243435,0.000320583,9.19123e-05,3.48157e-05
0.267286,0.00242951,0.000318983,9.1237e-05,3.44904e-05
0.268701,0.00242468,0.000317384,9.05617e-05,3.4165e-05
0.270115,0.00241999,0.000315853,8.99223e-05,3.38598e-05
0.271529,0.00241531,0.000314322,8.92828e-05,3.35545e-05
0.272943,0.00241062,0.000312791,8.86434e-05,3.32493e-05
0.274357,0.00240593,0.00031126,8.8004e-05,3.29441e-05
0.275772,0.00240124,0.000309729,8.73645e-05,3.26388e-05
0.277186,0.0023967,0.000308263,8.67584e-05,3.23521e-05
0.2786,0.00239215,0.000306796,8.61523e-05,3.20654e-05
0.280014,0.0023876,0.00030533,8.55462e-05,3.17787e-05
0.281428,0.00238306,0.000303864,8.494e-05,3.1492e-05
0.282843,0.00237851,0.000302397,8.43339e-05,3.12052e-05
0.284257,0.00237409,0.000300991,8.37588e-05,3.09356e-05
0.285671,0.00236968,0.000299586,8.31837e-05,3.06659e-05
0.287085,0.00236526,0.00029818,8.26085e-05,3.03963e-05
0.2885,0.00236085,0.000296774,8.20334e-05,3.01267e-05
0.289914,0.00235643,0.000295368,8.14583e-05,2.9857e-05
0.291328,0.00235214,0.000294019,8.0912e-05,2.96032e-05
0.292742,0.00234786,0.00029267,8.03658e-05,2.93493e-05
0.294156,0.00234357,0.000291321,7.98195e-05,2.90954e-05
0.295571,0.00233928,0.000289972,7.92732e-05,2.88416e-05
0.296985,0.00233499,0.000288623,7.8727e-05,2.85877e-05
0.298399,0.00233082,0.000287328,7.82076e-05,2.83485e-05
0.299813,0.00232665,0.000286033,7.76883e-05,2.81092e-05
0.301227,0.00232248,0.000284737,7.7169e-05,2.787e-05
0.302642,0.00231831,0.000283442,7.66497e-05,2.76307e-05
0.304056,0.00231414,0.000282147,7.61303e-05,2.73915e-05
